Segundos;Tª Agua Entrada;Tª Agua Salida;Caudal Aire Prim;Cauda Aire Sec;Tª Humos;Tª Chimenea;Caudal Agua;Peso Pellet (kg);O2 (%);TC1;TC2;TC3;TC4;TC5;TC6;TC7;Comment;NO (ppm) corr;NOx (ppm) corr;CO (ppm) corr;CO2 (%) corr
0;15.746056;16.248011;25.300537;28.023792;57.464167;21.189251;8.999492;20.541424;17.98;0;0;0;0;0;0;0;05/05/2017 10:49:25;-64.06953642;-3.205298013;8377.483444;8.122516556
4.999286;16.478212;17.526586;33.681692;41.520209;101.249081;28.331965;2.975522;26.099868;17.86;0;0;0;0;0;0;0;05/05/2017 10:49:30;-59.09872611;-2.977707006;8057.324841;8.267515924
9.999572;16.804965;18.337374;36.484411;48.616274;125.242305;32.843183;-0.061828;28.677943;17.83;0;0;0;0;0;0;0;05/05/2017 10:49:35;-57.22082019;-2.845425868;7981.072555;8.397476341
14.999858;16.728737;18.389453;38.460387;49.039634;127.716353;33.800659;-0.084023;28.686687;17.79;0;0;0;0;0;0;0;05/05/2017 10:49:40;-55.13707165;-2.741433022;8224.299065;8.429906542
19.999144;16.772616;18.280415;38.780532;49.028615;129.330842;33.813067;-0.070795;28.797255;17.73;0;0;0;0;0;0;0;05/05/2017 10:49:45;-52.00611621;-2.590214067;8073.394495;8.510703364
24.99943;16.617185;18.300041;37.48041;49.224873;132.171766;34.45016;-0.026892;28.87957;17.72;0;0;0;0;0;0;0;05/05/2017 10:49:50;-50.4054878;-2.515243902;8048.780488;8.652439024
29.999716;16.644618;18.383994;36.991939;50.485056;134.586221;33.857132;-0.059043;28.73877;17.77;0;0;0;0;0;0;0;05/05/2017 10:49:55;-48.86996904;-2.452012384;8173.374613;8.786377709
35.000002;16.682957;18.242553;40.952635;50.494538;137.078723;34.762838;-0.098624;28.815918;17.7;0;0;0;0;0;0;0;05/05/2017 10:50:00;-45.5;-2.266666667;8000;8.6
39.999288;16.618699;18.192292;45.081794;51.183197;142.801422;35.788192;-0.08731;28.805538;17.67;0;0;0;0;0;0;0;05/05/2017 10:50:05;-43.5045045;-2.18018018;7927.927928;8.555555556
44.999574;16.599488;18.26257;43.203467;50.998059;153.376286;36.401799;-0.112083;28.64965;17.7;0;0;0;0;0;0;0;05/05/2017 10:50:10;-42.3;-2.1;8000;8.7
49.99986;16.761607;18.321888;41.376827;49.826257;165.492216;36.294314;-0.090485;28.694861;17.56;0;0;0;0;0;0;0;05/05/2017 10:50:15;-37.57267442;-1.886627907;7674.418605;8.409883721
54.999146;16.835273;18.473186;42.642486;49.030239;175.544234;36.426207;-0.048012;28.754266;16.77;0;0;0;0;0;0;0;05/05/2017 10:50:20;-29.38534279;-1.456264775;6241.134752;7.333333333
59.999432;16.842557;18.399714;45.800402;47.765267;182.935319;36.099069;-0.123365;28.672846;15.88;0;0;0;0;0;0;0;05/05/2017 10:50:25;-23.33203125;-1.16015625;5371.09375;8.55078125
64.999718;16.739444;18.297851;42.332523;46.998321;188.399701;36.237586;-0.115539;28.652778;15.5;0;0;0;0;0;0;0;05/05/2017 10:50:30;-20.9;-1.04;5200;8.9
70.000004;16.832976;18.324031;44.014215;48.184648;195.129376;36.751684;-0.062228;28.737843;15.24;0;0;0;0;0;0;0;05/05/2017 10:50:35;-18.86805556;-0.935763889;5347.222222;9.28125
